,Unnamed: 0,Unnamed: 0.1,date,location,text
14465,14517,2029,03 07 2020 03 11,mumbai india,rt farmers sold 13 66 154 quintal fruits vegetables directly consumers march 27 june 30 coronavirus c
14469,14521,2033,03 07 2020 03 10,mumbai india,farmers sold 13 66 154 quintal fruits vegetables directly consumers march 27 june 30
14485,14537,2049,03 07 2020 03 00,mumbai india,replug monuments reopened complete precautions july 6 covid covid19 coronaviruslockdown
14510,14562,2074,03 07 2020 02 37,mumbai india,rt laruelle marc de mil expert opinion bilateral relations amp opportunities covid 19 crisis
14518,14570,2082,03 07 2020 02 28,mumbai india,rt bloody hell us going another child brutally raped murdered know world
14562,14614,2126,03 07 2020 01 37,mumbai india,vileparle hospital booked fleecing covid victim family via
14573,14625,2137,03 07 2020 01 28,mumbai india,rt 21 5k cases day highest till covid
14576,14628,2140,03 07 2020 01 22,mumbai india,rt covid 19 total number covid patients discharged maharashtra crossed one lakh mark today total 1 01
14598,14650,2162,03 07 2020 00 46,mumbai india,welcome gestation period corona delivered home cesarean section conducted viscera
14661,14713,52,02 07 2020 20 20,mumbai india,issues raised genuine risks safety kindly assure fair investigation
14698,14750,89,02 07 2020 19 16,mumbai india,ubs securities recent note said companies rated bbb interest coverage ratio less
14728,14780,119,02 07 2020 18 40,mumbai india,rt jalna 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkb
14743,14795,134,02 07 2020 18 29,mumbai india,rt andrea ponti introduces driverless social distancing tram designed hong kong via
14749,14801,140,02 07 2020 18 23,navi mumbai india,pm narendramodi telephonic conversation russian president vladimirputin leaders agreed
14753,14805,144,02 07 2020 18 23,india mumbai matunga,rt ministry health amp family welfare releases revised guidelines home isolation mild pre symptomatic asymptomatic covi
14784,14836,175,02 07 2020 18 07,mumbai india,rt 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkbir
14791,14843,182,02 07 2020 18 05,mumbai india,rt 4 months go special day wait srkday wait wave guys excited shahr
14799,14851,190,02 07 2020 18 00,mumbai india,rt worldbank approves 750 million fund support covid hit msmesector msme sector central
14803,14855,194,02 07 2020 17 58,mumbai india,rt covid positive woman guwahati left fend dropped ambulance entrance gauhati medical col
14805,14857,196,02 07 2020 17 55,mumbai india,rt india issued revised guidelines homeisolation mild pre symptomatic asymptomatic covid19 ca
14808,14860,199,02 07 2020 17 55,mumbai india,rt jalna 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkb
14844,14896,235,02 07 2020 17 33,mumbai india,rt 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkbir
14847,14899,238,02 07 2020 17 32,mumbai india,rt jalna 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkb
14853,14905,244,02 07 2020 17 31,mumbai india,rt today 103 cases covid mulund tward board update 02 07 2020 indiafightscorona stayhome staysafe
14938,14990,329,02 07 2020 16 59,navi mumbai india,rt tnie breaking least 55 persons acharya harihar pg institute cancer test positive covid 18 patient
14939,14991,330,02 07 2020 16 58,mumbai india,rt helping world farmers grow food need today amp future erik fyrwald syngenta group c
14940,14992,331,02 07 2020 16 58,mumbai india,rt lockdown maintained lockdown problem say govt intend
14976,15028,367,02 07 2020 16 48,mumbai india,rt ministry health amp family welfare releases revised guidelines home isolation mild pre symptomatic asymptomatic covi
14978,15030,369,02 07 2020 16 47,mumbai india,rt thieves target home covid patients rob rs 10 lakh mirror trauma facing family mumbai http
14983,15035,374,02 07 2020 16 46,mumbai india,rt jalna 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkb
14990,15042,381,02 07 2020 16 43,mumbai india,rt worldbank approves 750 million fund support covid hit msmesector msme sector central
15011,15063,402,02 07 2020 16 36,mumbai india,successfully testing animals union health min approves clinical human trails india first covid19 vac
15066,15118,457,02 07 2020 16 27,mumbai india,rt ministry health amp family welfare releases revised guidelines home isolation mild pre symptomatic asymptomatic covi
15072,15124,463,02 07 2020 16 26,mumbai india,rt ministry health amp family welfare releases revised guidelines home isolation mild pre symptomatic asymptomatic covi
15095,15147,486,02 07 2020 16 18,mumbai india,rt inspired news shared let us take action amp create success stories world
15105,15157,496,02 07 2020 16 16,mumbai india,rt world bank approves 750 million fund support covid hit msmesector msme sector cent
15108,15160,499,02 07 2020 16 14,mumbai india,rt us virtually bought 500 000 doses remdesivir proven work covid
15173,15225,564,02 07 2020 15 49,san francisco usa mumbai india,rt people wear mask continue attend amp throw gatherings brave downright irre
15205,15257,596,02 07 2020 15 35,mumbai india,rt want go goa thr r 3 options u arrive goa 1 produce covid certificate fm icmr regd lab
15274,15326,665,02 07 2020 15 17,mumbai india,thackeray mumbai desai
15291,15343,682,02 07 2020 15 12,mumbai india,rt delhi plasmabank starts today recovered covid amp hv completed 14 days isolation please com
15361,15413,752,02 07 2020 14 47,mumbai india,rt friend dad admitted rn cooper hospital 15 20 days covid treatment till date fine 11 15 pm h
15376,15428,767,02 07 2020 14 40,navi mumbai india,rt bloody hell us going another child brutally raped murdered know world
15383,15435,774,02 07 2020 14 38,mumbai india,rt ethealthworld weak evidence accuracy covid 19 antibody tests study antibody harvardmedicalschool immunoassa
15405,15457,796,02 07 2020 14 31,mumbai india,rt us virtually bought 500 000 doses remdesivir proven work covid
15437,15489,828,02 07 2020 14 25,mumbai india,rt nacpositivenews amid covid 19 crisis 359 859 people previously tested positive fought amp recovered pandemic
15441,15493,832,02 07 2020 14 24,mumbai india,rt jalna 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkb
15601,15653,992,02 07 2020 13 30,mumbai india,worried finding amazing dress lockdown wedding worry got covered swipe thro
15691,15743,1082,02 07 2020 13 05,mumbai india,rt hi got letter requesting write endless letters form governmen
15706,15758,1097,02 07 2020 13 00,mumbai india,china covid country virus inflicting death china covid 19 covid covid 19
15716,15768,1107,02 07 2020 12 58,navi mumbai india,rt ayurveda coronakiller dr giri beaming winner ayurveda covid 19 ayurvedic medicine
15719,15771,1110,02 07 2020 12 57,mumbai india,rt indiafightscorona indianarmy takes initiative organise blood donation camp shalateng kashmir order br
15752,15804,1143,02 07 2020 12 49,mumbai india,rt doctors covid screening opds also given ppes 1st contacts potential corona positives
15754,15806,1145,02 07 2020 12 49,mumbai india,rt namaskara would like highlight grave concerns thread covidwarriors
15765,15817,1156,02 07 2020 12 44,mumbai india,bls unemployment rate reported 11 1 excluding 1 reporting error initial claims c
15824,15876,1215,02 07 2020 12 15,mumbai india,rt laruelle marc de mil expert opinion bilateral relations amp opportunities covid 19 crisis
15862,15914,1253,02 07 2020 11 55,mumbai india,already dm guys couple times response far horrible work suffering
15912,15964,1303,02 07 2020 11 24,mumbai india,ban chinese coming countries world let face viruses l
15932,15984,1323,02 07 2020 11 16,mumbai india,watch video find despite circumstances doctors managed practice self care following
15977,16029,1368,02 07 2020 10 58,mumbai india,rt indian railways state governments request placing covid care coaches strategic locations preliminary leve
15990,16042,1381,02 07 2020 10 51,navi mumbai maharashtra india,rt heartbreaking breathe removed ventilator 3hrs asked said u enough feel
16003,16055,1394,02 07 2020 10 42,mumbai india,rt pm narendramodi telephonic conversation russian president vladimirputin leaders agreed impor
16046,16098,1437,02 07 2020 10 24,mumbai india,rt epidemiologist oxford university developing covid vaccine tells us may need vac
16061,16113,1452,02 07 2020 10 21,mumbai india,rt online kerala alluarjun fans honoured students grabbed high grades sslc examination congratulations future leader
16072,16124,1463,02 07 2020 10 17,mumbai india,rt wide ranging discussion french fm ledrian covered issues contemporary security political importance al
16095,16147,1486,02 07 2020 10 02,mumbai india,rt armedforces providing medical teams comprising doctors nurses amp paramedical staff 1000bed dedicated covid h
16106,16158,1497,02 07 2020 09 59,mumbai india,rt thieves target home covid patients rob rs 10 lakh mirror trauma facing family mumbai http
16148,16200,1539,02 07 2020 09 38,mumbai india,rt consumers purchasing habits changing good covid 19 mean brands retailers downl
16201,16253,1592,02 07 2020 09 18,mumbai india,rt advisable touch face often sanitise hands make sure wear mask haveaniceday covid 19 st
16252,16304,1643,02 07 2020 09 01,mumbai india,rt 05singh heard lately sweden covid numbers 12 deaths yesterday lockdown hysterics love ba
16274,16326,1665,02 07 2020 08 51,mumbai india,disaster opportunity shameful dealing 2 deadly disease covid amp rss
16286,16338,1677,02 07 2020 08 49,mumbai india,rt delhi hyderabad continue astound high mentalwellbeing index despite sharp rise covid cases
16288,16340,1679,02 07 2020 08 48,mumbai india,rt 1 n sadarpranam krishnan ishvara within u amp china employees absolutely correct amp
16306,16358,1697,02 07 2020 08 41,mumbai india,rt thieves target home covid patients rob rs 10 lakh mirror trauma facing family mumbai http
16308,16360,1699,02 07 2020 08 40,mumbai india,covid 19 community transmission maharashtra says health minister mumbai
16351,16403,1742,02 07 2020 08 17,mumbai india,rt good work corporator ward 63 distributing grocery kits needy people highly impacted
16358,16410,1749,02 07 2020 08 14,mumbai india,rt salute doctors health workers selfless service thank hope give society
16363,16415,1754,02 07 2020 08 13,mumbai india,rt 1 n sadarpranam krishnan ishvara within u amp china employees absolutely correct amp
16386,16438,1777,02 07 2020 08 05,mumbai india,rt online kerala alluarjun fans honoured students grabbed high grades sslc examination congratulations future leader
16391,16443,1782,02 07 2020 08 03,mumbai india,rt doctor know well tells proper protocols health care worker turning covid postive due inad
16400,16452,1791,02 07 2020 08 00,mumbai india,rt 1 n sadarpranam krishnan ishvara within u amp china employees absolutely correct amp
16401,16453,1792,02 07 2020 08 00,mumbai india,rt country needs combination targeted localised approaches overcome covid 19 crisis amp another nationwide lo
16453,16505,1844,02 07 2020 07 44,mumbai india,rt recognising hardships faced poor covid crisis hon ble pm extended gareebkaly
16487,16539,1878,02 07 2020 07 36,mulund mumbai india,rt thanks covid many sculpted bodies many discovered innate talents awakened hidden
16521,16573,1912,02 07 2020 07 30,mumbai india,witnessing drop tuesday covid 19 cases peaked maharashtra coronavirus covid
16547,16599,1938,02 07 2020 07 22,mumbai india,rt research vol iv tra coronavirus mental wellbeing impact worryindex across cities nearly however copin
16550,16602,1941,02 07 2020 07 21,mumbai india,rt 4 months go special day wait srkday wait wave guys excited shahr
16580,16632,1971,02 07 2020 07 17,mumbai india,rt covid positive dead body left outside 100 bed hospital hospete ballari karnataka hospital authorities claim
16609,16661,2000,02 07 2020 07 10,mumbai india,rt 4 months go special day wait srkday wait wave guys excited shahr
16613,16665,2004,02 07 2020 07 10,mumbai india,rt 4 months go special day wait srkday wait wave guys excited shahr
16622,16674,2013,02 07 2020 07 07,mumbai india,rt aanand icai may cancel chartered accountancy ca exams july amp august inform supremecourt fi
16647,16699,2038,02 07 2020 07 02,mumbai india,rt coronavirus covid 19 vaccine latest update pfizer biontech trial shows positive results india oxford mod
16706,16758,2097,02 07 2020 06 51,mumbai india,rt covid herd immunity world currently 0 0013 may change much since 200m people estimated un bo
16742,16794,2133,02 07 2020 06 41,mumbai india,rt eye missing mumbai like crying face traffic trafficjam mumbailockdown mumbai bandra footoverbridge l
16748,16800,2139,02 07 2020 06 41,mumbai india,rt v shaped recovery definite pre covid levels 2021 end
16788,16840,2179,02 07 2020 06 30,mumbai india,takeaway snack containers disposable gloves grocery parcels food packages needy led glut act
16812,16864,2203,02 07 2020 06 20,mumbai india,rt buy standard covid health insurance products ritesh kumar md ceo
16813,16865,2204,02 07 2020 06 20,mumbai india,rt 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkbir
16815,16867,2206,02 07 2020 06 20,mumbai india,mumbai 6 people including three best workers booked following socialdistancing norms covid covid 19
16827,16879,2218,02 07 2020 06 18,navi mumbai india,rt covid positive dead body left outside 100 bed hospital hospete ballari karnataka hospital authorities claim
16837,16889,2228,02 07 2020 06 15,mumbai india,rt 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkbir
16840,16892,2231,02 07 2020 06 14,mumbai india,rt 4 months go special day yes wait srkday shahrukhkhan srk kingofbollywood bollywood srkbir
16861,16913,2252,02 07 2020 06 06,mumbai india,k business provide high quality services customers affordable prices
16872,16924,2263,02 07 2020 06 00,mumbai india,rt must talk choreshavenogender since public engagement men help women cope harsh impact
16874,16926,2265,02 07 2020 05 59,mumbai india,must talk choreshavenogender since public engagement men help women cope harsh impac
16882,16934,2273,02 07 2020 05 55,mumbai india,closer covid positive case building bmc came morning covid19
16897,16949,2288,02 07 2020 05 47,mumbai india,rt good interaction prasad bl insurance healthinsurance motorinsurance covid
16915,16967,2306,02 07 2020 05 33,mumbai india,rt india
16924,16976,2315,02 07 2020 05 30,mumbai india,rt india
16934,16986,2325,02 07 2020 05 25,mumbai india,rt opp says two firms get approval soon chief says wait save lives covid covid 19 coronavirus
16950,17002,2341,02 07 2020 05 19,mumbai india,mmrc set operationalise 1060 bed covid centre dahisar mumbai houses oxygenated beds along w
16958,17010,2349,02 07 2020 05 17,mumbai india,
16984,17036,2375,02 07 2020 05 09,mumbai india,rt detailed timeline covid
16986,17038,2377,02 07 2020 05 08,mumbai india,rt studies showing blood cell damage covid19 patients causing dip oxygen levels effects lung function
16989,17041,2380,02 07 2020 05 08,mumbai india,studies showing blood cell damage covid19 patients causing dip oxygen levels effects lung fun
16993,17045,2384,02 07 2020 05 07,mumbai india,rt advisable touch face often sanitise hands make sure wear mask haveaniceday covid 19 st
16997,17049,2388,02 07 2020 05 05,mumbai india,rt germany president unsc month german envoy view covid crisis amp berlin plans
17003,17055,2394,02 07 2020 05 03,mumbai india,rt news mark carney speaking pri webinar today impacts covid firms hav
17018,17070,2409,02 07 2020 04 58,mumbai india,rt hindu new covid 19 cases unitedstates rose nearly 50 000 wednesday according reuters tally marking biggest
17020,17072,2411,02 07 2020 04 56,mumbai india,people world pledge socially distance amp support health workers coronavirus sign petition
17028,17080,2419,02 07 2020 04 51,mumbai india,us virtually bought 500 000 doses remdesivir proven work covid
17032,17084,2423,02 07 2020 04 50,mumbai india,rt even 12hrs everyone appreciates andhrapradesh govt initiative happens mla jalkampudi amp followers break
17047,17099,2438,02 07 2020 04 42,mumbai india,rt buy standard covid health insurance products ritesh kumar md ceo
17051,17103,2442,02 07 2020 04 40,mumbai india,rt opp says two firms get approval soon chief says wait save lives covid covid 19 coronavirus
17060,17112,2451,02 07 2020 04 35,mumbai india,rt ramesh frontlinewarrior dr richa negi showing dancing skills doctors day spreading positivity important
17062,17114,2453,02 07 2020 04 34,mumbai india,tracking covid affected states india
